geo_name,geo_state,geo_id,percentage_below_poverty
"Autauga County, AL",05000US01001,0.122660170702224
"Baldwin County, AL",05000US01003,0.129937957689178
"Barbour County, AL",05000US01005,0.263736728564782
"Bibb County, AL",05000US01007,0.16453914478474
"Blount County, AL",05000US01009,0.165344401828403
"Bullock County, AL",05000US01011,0.268662596021272
"Butler County, AL",05000US01013,0.256595084346999
"Calhoun County, AL",05000US01015,0.196423817552578
"Chambers County, AL",05000US01017,0.203116138853237
"Cherokee County, AL",05000US01019,0.164461024936187
"Chilton County, AL",05000US01021,0.202743585598485
"Choctaw County, AL",05000US01023,0.209533267130089
"Clarke County, AL",05000US01025,0.246359620418848
"Clay County, AL",05000US01027,0.167480543262628
"Cleburne County, AL",05000US01029,0.196183620806736
"Coffee County, AL",05000US01031,0.163545915829271
"Colbert County, AL",05000US01033,0.165275459098498
"Conecuh County, AL",05000US01035,0.325384249722706
"Coosa County, AL",05000US01037,0.153377155377727
"Covington County, AL",05000US01039,0.18994488869678
"Crenshaw County, AL",05000US01041,0.181818181818182
"Cullman County, AL",05000US01043,0.171205351571275
"Dale County, AL",05000US01045,0.204745748686334
"Dallas County, AL",05000US01047,0.343000366793006
"DeKalb County, AL",05000US01049,0.197866149369544
"Elmore County, AL",05000US01051,0.142969642083711
"Escambia County, AL",05000US01053,0.252026069708133
"Etowah County, AL",05000US01055,0.18376886741498
"Fayette County, AL",05000US01057,0.173011844331641
"Franklin County, AL",05000US01059,0.222852745984419
"Geneva County, AL",05000US01061,0.227680769667816
"Greene County, AL",05000US01063,0.378837590813218
"Hale County, AL",05000US01065,0.259117469272617
"Henry County, AL",05000US01067,0.152809785499025
"Houston County, AL",05000US01069,0.188806768452786
"Jackson County, AL",05000US01071,0.187921526430067
"Jefferson County, AL",05000US01073,0.181041714802312
"Lamar County, AL",05000US01075,0.238615141502658
"Lauderdale County, AL",05000US01077,0.182780725022104
"Lawrence County, AL",05000US01079,0.182801547014745
"Lee County, AL",05000US01081,0.230115918742109
"Limestone County, AL",05000US01083,0.141003430433336
"Lowndes County, AL",05000US01085,0.286900897460378
"Macon County, AL",05000US01087,0.255360735843633
"Madison County, AL",05000US01089,0.132703713254255
"Marengo County, AL",05000US01091,0.277783385485011
"Marion County, AL",05000US01093,0.186278487860959
"Marshall County, AL",05000US01095,0.205123258306538
"Mobile County, AL",05000US01097,0.194741221748369
"Monroe County, AL",05000US01099,0.320964920357241
"Montgomery County, AL",05000US01101,0.213116687532887
"Morgan County, AL",05000US01103,0.163091004984943
"Perry County, AL",05000US01105,0.397990726429675
"Pickens County, AL",05000US01107,0.239253216190775
"Pike County, AL",05000US01109,0.257420691853977
"Randolph County, AL",05000US01111,0.205622708135271
"Russell County, AL",05000US01113,0.215419029287832
"St. Clair County, AL",05000US01115,0.137037519079002
"Shelby County, AL",05000US01117,0.084936964121072
"Sumter County, AL",05000US01119,0.367206283058182
"Talladega County, AL",05000US01121,0.207941483803553
"Tallapoosa County, AL",05000US01123,0.233602496779946
"Tuscaloosa County, AL",05000US01125,0.179592985088624
"Walker County, AL",05000US01127,0.219309917994739
"Washington County, AL",05000US01129,0.2160810077753
"Wilcox County, AL",05000US01131,0.348921196407075
"Winston County, AL",05000US01133,0.205659574468085
"Aleutians East Borough, AK",05000US02013,0.154968094804011
"Aleutians West Census Area, AK",05000US02016,0.076839826839827
"Anchorage Municipality, AK",05000US02020,0.080983636867893
"Bethel Census Area, AK",05000US02050,0.265872330627986
"Bristol Bay Borough, AK",05000US02060,0.072510822510823
"Denali Borough, AK",05000US02068,0.112778315585673
"Dillingham Census Area, AK",05000US02070,0.164812942366026
"Fairbanks North Star Borough, AK",05000US02090,0.077582882573034
"Haines Borough, AK",05000US02100,0.052526860326303
"Hoonah-Angoon Census Area, AK",05000US02105,0.123456790123457
"Juneau City and Borough, AK",05000US02110,0.074233340657271
"Kenai Peninsula Borough, AK",05000US02122,0.109690025757172
"Ketchikan Gateway Borough, AK",05000US02130,0.107549962990378
"Kodiak Island Borough, AK",05000US02150,0.091536372311532
"Kusilvak County, AK",05000US02158,0.359818959014332
"Lake and Peninsula Borough, AK",05000US02164,0.187723054960742
"Matanuska-Susitna Borough, AK",05000US02170,0.096670802315964
"Nome Census Area, AK",05000US02180,0.270104166666667
"North Slope Borough, AK",05000US02185,0.112100576217915
"Northwest Arctic Borough, AK",05000US02188,0.24535218643624
"Petersburg Census Area, AK",05000US02195,0.092861655085281
"Prince of Wales-Hyder Census Area, AK",05000US02198,0.148841637575373
"Sitka City and Borough, AK",05000US02220,0.090464825548358
"Skagway Municipality, AK",05000US02230,0.052527254707631
"Southeast Fairbanks Census Area, AK",05000US02240,0.136258326093252
"Valdez-Cordova Census Area, AK",05000US02261,0.085346387144834
"Wade Hampton Census Area, AK",05000US02270,
"Wrangell City and Borough, AK",05000US02275,0.099454469156525
"Yakutat City and Borough, AK",05000US02282,0.078947368421053
"Yukon-Koyukuk Census Area, AK",05000US02290,0.235336581844432
"Apache County, AZ",05000US04001,0.362022744588989
"Cochise County, AZ",05000US04003,0.189263897894414
"Coconino County, AZ",05000US04005,0.221636112071947
"Gila County, AZ",05000US04007,0.212204076949554
"Graham County, AZ",05000US04009,0.22500909862914
"Greenlee County, AZ",05000US04011,0.133861734918538
"La Paz County, AZ",05000US04012,0.211315304547039
"Maricopa County, AZ",05000US04013,0.165168572738424
"Mohave County, AZ",05000US04015,0.193237404934481
"Navajo County, AZ",05000US04017,0.299036831488128
"Pima County, AZ",05000US04019,0.190856656968406
"Pinal County, AZ",05000US04021,0.16472790264884
"Santa Cruz County, AZ",05000US04023,0.218573193730897
"Yavapai County, AZ",05000US04025,0.146779076808421
"Yuma County, AZ",05000US04027,0.204763427921547
"Arkansas County, AR",05000US05001,0.196375780137961
"Ashley County, AR",05000US05003,0.199093932237698
"Baxter County, AR",05000US05005,0.138363847503274
"Benton County, AR",05000US05007,0.113798513625103
"Boone County, AR",05000US05009,0.174722608434885
"Bradley County, AR",05000US05011,0.28825298459856
"Calhoun County, AR",05000US05013,0.191615582361084
"Carroll County, AR",05000US05015,0.174800160601526
"Chicot County, AR",05000US05017,0.309213654083864
"Clark County, AR",05000US05019,0.240104875712197
"Clay County, AR",05000US05021,0.222192655667908
"Cleburne County, AR",05000US05023,0.15490608743994
"Cleveland County, AR",05000US05025,0.200479904019196
"Columbia County, AR",05000US05027,0.249430167597765
"Conway County, AR",05000US05029,0.215242760409163
"Craighead County, AR",05000US05031,0.189219300733298
"Crawford County, AR",05000US05033,0.187770642351749
"Crittenden County, AR",05000US05035,0.245863320415821
"Cross County, AR",05000US05037,0.197591776798825
"Dallas County, AR",05000US05039,0.147268408551069
"Desha County, AR",05000US05041,0.319877320954907
"Drew County, AR",05000US05043,0.277358490566038
"Faulkner County, AR",05000US05045,0.160932873937358
"Franklin County, AR",05000US05047,0.211141678129298
"Fulton County, AR",05000US05049,0.23175426849682
"Garland County, AR",05000US05051,0.206326693561943
"Grant County, AR",05000US05053,0.130012900330922
"Greene County, AR",05000US05055,0.177426489418667
"Hempstead County, AR",05000US05057,0.267308218553316
"Hot Spring County, AR",05000US05059,0.170482081367173
"Howard County, AR",05000US05061,0.196203961738345
"Independence County, AR",05000US05063,0.19208362369338
"Izard County, AR",05000US05065,0.219767165597529
"Jackson County, AR",05000US05067,0.271069976160426
"Jefferson County, AR",05000US05069,0.255014886770323
"Johnson County, AR",05000US05071,0.213769974353916
"Lafayette County, AR",05000US05073,0.263802796597953
"Lawrence County, AR",05000US05075,0.236453201970443
"Lee County, AR",05000US05077,0.300540407762221
"Lincoln County, AR",05000US05079,0.233398226260004
"Little River County, AR",05000US05081,0.193899959333062
"Logan County, AR",05000US05083,0.189985066268434
"Lonoke County, AR",05000US05085,0.121017482666213
"Madison County, AR",05000US05087,0.180949939106468
"Marion County, AR",05000US05089,0.198606056867945
"Miller County, AR",05000US05091,0.206427105207276
"Mississippi County, AR",05000US05093,0.255287218322867
"Monroe County, AR",05000US05095,0.286307053941909
"Montgomery County, AR",05000US05097,0.187941275355822
"Nevada County, AR",05000US05099,0.307828134196586
"Newton County, AR",05000US05101,0.216397170288024
"Ouachita County, AR",05000US05103,0.245305501910671
"Perry County, AR",05000US05105,0.178172839506173
"Phillips County, AR",05000US05107,0.334620073141
"Pike County, AR",05000US05109,0.184685101266993
"Poinsett County, AR",05000US05111,0.221152628245725
"Polk County, AR",05000US05113,0.251988466892026
"Pope County, AR",05000US05115,0.195731635420351
"Prairie County, AR",05000US05117,0.197919216646267
"Pulaski County, AR",05000US05119,0.179877314593038
"Randolph County, AR",05000US05121,0.195504047521985
"St. Francis County, AR",05000US05123,0.24631236906238
"Saline County, AR",05000US05125,0.085223331489433
"Scott County, AR",05000US05127,0.208751657510892
"Searcy County, AR",05000US05129,0.206610515569168
"Sebastian County, AR",05000US05131,0.221810943046273
"Sevier County, AR",05000US05133,0.224041462983686
"Sharp County, AR",05000US05135,0.222482014388489
"Stone County, AR",05000US05137,0.23613465730201
"Union County, AR",05000US05139,0.207178142957959
"Van Buren County, AR",05000US05141,0.18471490177288
"Washington County, AR",05000US05143,0.189796639724768
"White County, AR",05000US05145,0.176597281678082
"Woodruff County, AR",05000US05147,0.240867240867241
"Yell County, AR",05000US05149,0.174811766356451
"Alameda County, CA",05000US06001,0.120174693525691
"Alpine County, CA",05000US06003,0.188888888888889
"Amador County, CA",05000US06005,0.111741332767145
"Butte County, CA",05000US06007,0.212672645452506
"Calaveras County, CA",05000US06009,0.127393857271906
"Colusa County, CA",05000US06011,0.135177304964539
"Contra Costa County, CA",05000US06013,0.101917753332848
"Del Norte County, CA",05000US06015,0.217358710590979
"El Dorado County, CA",05000US06017,0.098357492184442
"Fresno County, CA",05000US06019,0.269203022925436
"Glenn County, CA",05000US06021,0.202534403253331
"Humboldt County, CA",05000US06023,0.209615895044174
"Imperial County, CA",05000US06025,0.240980752203186
"Inyo County, CA",05000US06027,0.107590647238224
"Kern County, CA",05000US06029,0.231478801694578
"Kings County, CA",05000US06031,0.215957382681817
"Lake County, CA",05000US06033,0.245973159666788
"Lassen County, CA",05000US06035,0.161918631109493
"Los Angeles County, CA",05000US06037,0.178081790751271
"Madera County, CA",05000US06039,0.220604333188756
"Marin County, CA",05000US06041,0.080778348478862
"Mariposa County, CA",05000US06043,0.163201008191556
"Mendocino County, CA",05000US06045,0.201927884559482
"Merced County, CA",05000US06047,0.242229902119961
"Modoc County, CA",05000US06049,0.169272914050907
"Mono County, CA",05000US06051,0.087686567164179
"Monterey County, CA",05000US06053,0.160965956000194
"Napa County, CA",05000US06055,0.088128919352487
"Nevada County, CA",05000US06057,0.12106178396072
"Orange County, CA",05000US06059,0.124578256416222
"Placer County, CA",05000US06061,0.086960310673689
"Plumas County, CA",05000US06063,0.127756902466917
"Riverside County, CA",05000US06065,0.164558405305165
"Sacramento County, CA",05000US06067,0.178821279483436
"San Benito County, CA",05000US06069,0.107875762617859
"San Bernardino County, CA",05000US06071,0.191236273917029
"San Diego County, CA",05000US06073,0.139958519041525
"San Francisco County, CA",05000US06075,0.124533656242641
"San Joaquin County, CA",05000US06077,0.177641878808791
"San Luis Obispo County, CA",05000US06079,0.141602889295677
"San Mateo County, CA",05000US06081,0.076780686899337
"Santa Barbara County, CA",05000US06083,0.158958404141285
"Santa Clara County, CA",05000US06085,0.092782177684392
"Santa Cruz County, CA",05000US06087,0.150816759041659
"Shasta County, CA",05000US06089,0.175361546831082
"Sierra County, CA",05000US06091,0.113370089593384
"Siskiyou County, CA",05000US06093,0.220162278369819
"Solano County, CA",05000US06095,0.12721883598288
"Sonoma County, CA",05000US06097,0.11220269188707
"Stanislaus County, CA",05000US06099,0.182493480946063
"Sutter County, CA",05000US06101,0.175253579794168
"Tehama County, CA",05000US06103,0.214821959649546
"Trinity County, CA",05000US06105,0.201359388275276
"Tulare County, CA",05000US06107,0.282624789081831
"Tuolumne County, CA",05000US06109,0.142251120009515
"Ventura County, CA",05000US06111,0.106387762389523
"Yolo County, CA",05000US06113,0.193001954927509
"Yuba County, CA",05000US06115,0.207756423503479
"Adams County, CO",05000US08001,0.128952071042035
"Alamosa County, CO",05000US08003,0.313589306774997
"Arapahoe County, CO",05000US08005,0.106842299634942
"Archuleta County, CO",05000US08007,0.112121212121212
"Baca County, CO",05000US08009,0.179960261141073
"Bent County, CO",05000US08011,0.252476572958501
"Boulder County, CO",05000US08013,0.13431954809116
"Broomfield County, CO",05000US08014,0.05906989481145
"Chaffee County, CO",05000US08015,0.096188121658138
"Cheyenne County, CO",05000US08017,0.113310242454231
"Clear Creek County, CO",05000US08019,0.074493838028169
"Conejos County, CO",05000US08021,0.220957277512547
"Costilla County, CO",05000US08023,0.304178272980501
"Crowley County, CO",05000US08025,0.341176470588235
"Custer County, CO",05000US08027,0.179368029739777
"Delta County, CO",05000US08029,0.168394228451393
"Denver County, CO",05000US08031,0.163976103683836
"Dolores County, CO",05000US08033,0.193404136389044
"Douglas County, CO",05000US08035,0.037722285765404
"Eagle County, CO",05000US08037,0.080667885157262
"Elbert County, CO",05000US08039,0.050697558545092
"El Paso County, CO",05000US08041,0.112829721572742
"Fremont County, CO",05000US08043,0.165651778579891
"Garfield County, CO",05000US08045,0.110995134896064
"Gilpin County, CO",05000US08047,0.070809248554913
"Grand County, CO",05000US08049,0.105910987482615
"Gunnison County, CO",05000US08051,0.153718679570463
"Hinsdale County, CO",05000US08053,0.11214953271028
"Huerfano County, CO",05000US08055,0.170727872975947
"Jackson County, CO",05000US08057,0.137692307692308
"Jefferson County, CO",05000US08059,0.081201806384938
"Kiowa County, CO",05000US08061,0.106870229007634
"Kit Carson County, CO",05000US08063,0.142012647786637
"Lake County, CO",05000US08065,0.115230875258442
"La Plata County, CO",05000US08067,0.107100273087426
"Larimer County, CO",05000US08069,0.131694635436104
"Las Animas County, CO",05000US08071,0.143111903700401
"Lincoln County, CO",05000US08073,0.17008547008547
"Logan County, CO",05000US08075,0.163290834736589
"Mesa County, CO",05000US08077,0.163322990165928
"Mineral County, CO",05000US08079,0.081967213114754
"Moffat County, CO",05000US08081,0.110712335179839
"Montezuma County, CO",05000US08083,0.186987446072525
"Montrose County, CO",05000US08085,0.180327056491576
"Morgan County, CO",05000US08087,0.107313566936208
"Otero County, CO",05000US08089,0.231330400400958
"Ouray County, CO",05000US08091,0.091535645057075
"Park County, CO",05000US08093,0.062757138470986
"Phillips County, CO",05000US08095,0.11892523364486
"Pitkin County, CO",05000US08097,0.086400642128196
"Prowers County, CO",05000US08099,0.205934869483887
"Pueblo County, CO",05000US08101,0.202205393073291
"Rio Blanco County, CO",05000US08103,0.124427601452708
"Rio Grande County, CO",05000US08105,0.191761488930052
"Routt County, CO",05000US08107,0.10169348367752
"Saguache County, CO",05000US08109,0.226236351958895
"San Juan County, CO",05000US08111,0.03804347826087
"San Miguel County, CO",05000US08113,0.119312306101344
"Sedgwick County, CO",05000US08115,0.146907216494845
"Summit County, CO",05000US08117,0.120794320403334
"Teller County, CO",05000US08119,0.07534835713057
"Washington County, CO",05000US08121,0.117294900221729
"Weld County, CO",05000US08123,0.125562820129877
"Yuma County, CO",05000US08125,0.145856243127062
"Fairfield County, CT",05000US09001,0.088319606664609
"Hartford County, CT",05000US09003,0.11565354634171
"Litchfield County, CT",05000US09005,0.069416520979021
"Middlesex County, CT",05000US09007,0.070326784244488
"New Haven County, CT",05000US09009,0.127933261378161
"New London County, CT",05000US09011,0.09864599761511
"Tolland County, CT",05000US09013,0.067953081944506
"Windham County, CT",05000US09015,0.111980820667877
"Kent County, DE",05000US10001,0.131719717597166
"New Castle County, DE",05000US10003,0.113617596837531
"Sussex County, DE",05000US10005,0.128869329918003
"District of Columbia, DC",05000US11001,0.179309197156911
"Alachua County, FL",05000US12001,0.242133070134696
"Baker County, FL",05000US12003,0.185153339065635
"Bay County, FL",05000US12005,0.15576364774862
"Bradford County, FL",05000US12007,0.193309023066486
"Brevard County, FL",05000US12009,0.139618200884018
"Broward County, FL",05000US12011,0.143662314755198
"Calhoun County, FL",05000US12013,0.130887096774194
"Charlotte County, FL",05000US12015,0.123724212812161
"Citrus County, FL",05000US12017,0.177232561010144
"Clay County, FL",05000US12019,0.101916696455093
"Collier County, FL",05000US12021,0.131638878654339
"Columbia County, FL",05000US12023,0.193591793442986
"DeSoto County, FL",05000US12027,0.299119527198167
"Dixie County, FL",05000US12029,0.215215284507822
"Duval County, FL",05000US12031,0.166183934977235
"Escambia County, FL",05000US12033,0.147197615696664
"Flagler County, FL",05000US12035,0.132077324091619
"Franklin County, FL",05000US12037,0.206806545527557
"Gadsden County, FL",05000US12039,0.255678792229143
"Gilchrist County, FL",05000US12041,0.238247317322432
"Glades County, FL",05000US12043,0.206748263314588
"Gulf County, FL",05000US12045,0.152913339248743
"Hamilton County, FL",05000US12047,0.26963326963327
"Hardee County, FL",05000US12049,0.26419102316982
"Hendry County, FL",05000US12051,0.262732134698594
"Hernando County, FL",05000US12053,0.156314711702177
"Highlands County, FL",05000US12055,0.193814834956238
"Hillsborough County, FL",05000US12057,0.163938528617047
"Holmes County, FL",05000US12059,0.259819246291138
"Indian River County, FL",05000US12061,0.141226392125491
"Jackson County, FL",05000US12063,0.228587537382948
"Jefferson County, FL",05000US12065,0.158118177092358
"Lafayette County, FL",05000US12067,0.180272108843537
"Lake County, FL",05000US12069,0.135026452326816
"Lee County, FL",05000US12071,0.15539210716224
"Leon County, FL",05000US12073,0.213330789662915
"Levy County, FL",05000US12075,0.22158479741843
"Liberty County, FL",05000US12077,0.169348885279787
"Madison County, FL",05000US12079,0.28470246382953
"Manatee County, FL",05000US12081,0.143410486537553
"Marion County, FL",05000US12083,0.182175979105957
"Martin County, FL",05000US12085,0.117936150571484
"Miami-Dade County, FL",05000US12086,0.19906783990484
"Monroe County, FL",05000US12087,0.12970280020615
"Nassau County, FL",05000US12089,0.127125972902854
"Okaloosa County, FL",05000US12091,0.120053027234325
"Okeechobee County, FL",05000US12093,0.252804309195913
"Orange County, FL",05000US12095,0.173396062914882
"Osceola County, FL",05000US12097,0.194783401555862
"Palm Beach County, FL",05000US12099,0.138538730736069
"Pasco County, FL",05000US12101,0.135553376185033
"Pinellas County, FL",05000US12103,0.141337946319972
"Polk County, FL",05000US12105,0.176788535409833
"Putnam County, FL",05000US12107,0.269964983621371
"St. Johns County, FL",05000US12109,0.089848243107863
"St. Lucie County, FL",05000US12111,0.178917094340922
"Santa Rosa County, FL",05000US12113,0.122908970682672
"Sarasota County, FL",05000US12115,0.110329093272834
"Seminole County, FL",05000US12117,0.120700369442149
"Sumter County, FL",05000US12119,0.099350661825447
"Suwannee County, FL",05000US12121,0.227415816083182
"Taylor County, FL",05000US12123,0.147793326157158
"Union County, FL",05000US12125,0.223938998695696
"Volusia County, FL",05000US12127,0.167035705229699
"Wakulla County, FL",05000US12129,0.14301667927519
"Walton County, FL",05000US12131,0.174345593805235
"Washington County, FL",05000US12133,0.205067873303167
"Appling County, GA",05000US13001,0.206368715083799
"Atkinson County, GA",05000US13003,0.275619232637202
"Bacon County, GA",05000US13005,0.182987512909586
"Baker County, GA",05000US13007,0.156615384615385
"Baldwin County, GA",05000US13009,0.29704687462878
"Banks County, GA",05000US13011,0.155188447021498
"Barrow County, GA",05000US13013,0.144697312646611
"Bartow County, GA",05000US13015,0.147574758070108
"Ben Hill County, GA",05000US13017,0.350108893990229
"Berrien County, GA",05000US13019,0.255795406210123
"Bibb County, GA",05000US13021,0.277948828994647
"Bleckley County, GA",05000US13023,0.230181979582778
"Brantley County, GA",05000US13025,0.211760819293029
"Brooks County, GA",05000US13027,0.247056540302756
"Bryan County, GA",05000US13029,0.132707419725108
"Bulloch County, GA",05000US13031,0.315494232074191
"Burke County, GA",05000US13033,0.304950671051462
"Butts County, GA",05000US13035,0.205297693718035
"Calhoun County, GA",05000US13037,0.327108963093146
"Camden County, GA",05000US13039,0.139761000536854
"Candler County, GA",05000US13043,0.297248916525344
"Carroll County, GA",05000US13045,0.192639332768809
"Catoosa County, GA",05000US13047,0.118477943099814
"Charlton County, GA",05000US13049,0.205834821808284
"Chatham County, GA",05000US13051,0.179868775447449
"Chattahoochee County, GA",05000US13053,0.14299634591961
"Chattooga County, GA",05000US13055,0.224028360209243
"Cherokee County, GA",05000US13057,0.100165841833274
"Clarke County, GA",05000US13059,0.351979307443771
"Clay County, GA",05000US13061,0.398074369189907
"Clayton County, GA",05000US13063,0.242809258504326
"Clinch County, GA",05000US13065,0.353011329755516
"Cobb County, GA",05000US13067,0.116371366836272
"Coffee County, GA",05000US13069,0.244950974150006
"Colquitt County, GA",05000US13071,0.249922624574435
"Columbia County, GA",05000US13073,0.094928758568711
"Cook County, GA",05000US13075,0.262272754189613
"Coweta County, GA",05000US13077,0.119800752744846
"Crawford County, GA",05000US13079,0.190813584168092
"Crisp County, GA",05000US13081,0.329348740425909
"Dade County, GA",05000US13083,0.166102370045808
"Dawson County, GA",05000US13085,0.13424961205941
"Decatur County, GA",05000US13087,0.26475677754278
"DeKalb County, GA",05000US13089,0.189933777446579
"Dodge County, GA",05000US13091,0.222146166807077
"Dooly County, GA",05000US13093,0.242553534052488
"Dougherty County, GA",05000US13095,0.305053702656868
"Douglas County, GA",05000US13097,0.152083333333333
"Early County, GA",05000US13099,0.312233009708738
"Echols County, GA",05000US13101,0.302140368342459
"Effingham County, GA",05000US13103,0.108370905535336
"Elbert County, GA",05000US13105,0.197536041939712
"Emanuel County, GA",05000US13107,0.294895771564111
"Evans County, GA",05000US13109,0.261520399178163
"Fannin County, GA",05000US13111,0.18003632830651
"Fayette County, GA",05000US13113,0.071435134986125
"Floyd County, GA",05000US13115,0.19753729884683
"Forsyth County, GA",05000US13117,0.064170912208437
"Franklin County, GA",05000US13119,0.252419054707853
"Fulton County, GA",05000US13121,0.169532009040381
"Gilmer County, GA",05000US13123,0.194456110877782
"Glascock County, GA",05000US13125,0.151924375422012
"Glynn County, GA",05000US13127,0.187060911578377
"Gordon County, GA",05000US13129,0.205979705898312
"Grady County, GA",05000US13131,0.296157261645273
"Greene County, GA",05000US13133,0.243147548989683
"Gwinnett County, GA",05000US13135,0.13019142918042
"Habersham County, GA",05000US13137,0.183265466319973
"Hall County, GA",05000US13139,0.177158034528552
"Hancock County, GA",05000US13141,0.313576945929887
"Haralson County, GA",05000US13143,0.202836376528984
"Harris County, GA",05000US13145,0.083784782073381
"Hart County, GA",05000US13147,0.212201160855624
"Heard County, GA",05000US13149,0.170359255009268
"Henry County, GA",05000US13151,0.120801924770115
"Houston County, GA",05000US13153,0.179529881994671
"Irwin County, GA",05000US13155,0.248877413560844
"Jackson County, GA",05000US13157,0.135249228770904
"Jasper County, GA",05000US13159,0.200627661959202
"Jeff Davis County, GA",05000US13161,0.207423874966316
"Jefferson County, GA",05000US13163,0.289092879454325
"Jenkins County, GA",05000US13165,0.283244087460955
"Johnson County, GA",05000US13167,0.251677494940888
"Jones County, GA",05000US13169,0.136901408450704
"Lamar County, GA",05000US13171,0.22173552740618
"Lanier County, GA",05000US13173,0.282220225616452
"Laurens County, GA",05000US13175,0.277458131029025
"Lee County, GA",05000US13177,0.119084187591528
"Liberty County, GA",05000US13179,0.169320319086841
"Lincoln County, GA",05000US13181,0.253629823413996
"Long County, GA",05000US13183,0.161856816718375
"Lowndes County, GA",05000US13185,0.24977922633625
"Lumpkin County, GA",05000US13187,0.21638549348419
"McDuffie County, GA",05000US13189,0.260589231927711
"McIntosh County, GA",05000US13191,0.201343251245757
"Macon County, GA",05000US13193,0.325563909774436
"Madison County, GA",05000US13195,0.160962928670631
"Marion County, GA",05000US13197,0.25228712174525
"Meriwether County, GA",05000US13199,0.237142582997505
"Miller County, GA",05000US13201,0.251439539347409
"Mitchell County, GA",05000US13205,0.298606340170772
"Monroe County, GA",05000US13207,0.132478301301922
"Montgomery County, GA",05000US13209,0.228200145737187
"Morgan County, GA",05000US13211,0.132701956141834
"Murray County, GA",05000US13213,0.188302829047288
"Muscogee County, GA",05000US13215,0.209136864776701
"Newton County, GA",05000US13217,0.170392837923781
"Oconee County, GA",05000US13219,0.071393685178269
"Oglethorpe County, GA",05000US13221,0.17907582613465
"Paulding County, GA",05000US13223,0.107406286770886
"Peach County, GA",05000US13225,0.210173597093258
"Pickens County, GA",05000US13227,0.102741566993684
"Pierce County, GA",05000US13229,0.199353847783486
"Pike County, GA",05000US13231,0.12126758952065
"Polk County, GA",05000US13233,0.201449239883473
"Pulaski County, GA",05000US13235,0.237549447205599
"Putnam County, GA",05000US13237,0.177560743211053
"Quitman County, GA",05000US13239,0.256801909307876
"Rabun County, GA",05000US13241,0.217684105506017
"Randolph County, GA",05000US13243,0.286607016048857
"Richmond County, GA",05000US13245,0.251941709743616
"Rockdale County, GA",05000US13247,0.171640067441162
"Schley County, GA",05000US13249,0.218707015130674
"Screven County, GA",05000US13251,0.249981753156704
