geo_name,geo_id,pop,adult_obesity,income_below_poverty,high_school_graduation,unemployment,violent_crime,age,median_property_value,owner_occupied_housing_units,population_living_in_a_rural_area,grads_total
"Los Angeles County, CA",05000US06037,10057155,0.214,1764080,0.787,0.067,423.79,35.8,465000,0.456931,0.006,160294
"Cook County, IL",05000US17031,5227575,0.253,856682,0.826,0.061,586.66,36.1,219800,0.566286,0,96415
"Harris County, TX",05000US48201,4434257,0.272,763456,0.87,0.046,713.71,32.9,145600,0.545424,0.012,47832
"Maricopa County, AZ",05000US04013,4088549,0.254,666513,0.78,0.052,402.51,35.8,204900,0.603592,0.024,133663
"San Diego County, CA",05000US06073,3253356,0.191,444024,0.818,0.052,348.8,35.3,454600,0.52726,0.033,56034
"Orange County, CA",05000US06059,3132211,0.197,385556,0.9,0.045,203.95,37.3,584200,0.571779,0.001,71414
"Miami-Dade County, FL",05000US12086,2664418,0.21,522143,0.78,0.061,650.34,39.3,221100,0.526197,0.004,47080
"Kings County, NY",05000US36047,2606852,0.227,587518,0.688,0.059,620.91,34.5,590500,0.294468,0,20171
"Dallas County, TX",05000US48113,2513054,0.276,461045,0.837,0.043,443.43,33.2,138600,0.505604,0.007,26908
"Riverside County, CA",05000US06065,2323892,0.26,376689,0.874,0.067,282.59,34.8,276300,0.644628,0.046,20855
"Queens County, NY",05000US36081,2310011,0.238,334149,0.708,0.05,620.74,37.9,462300,0.438036,0,19686
"San Bernardino County, CA",05000US06071,2106754,0.279,392195,0.807,0.065,409.07,32.7,256000,0.590666,0.047,20958
"King County, WA",05000US53033,2079550,0.222,219317,0.816,0.044,332.08,37.2,407400,0.572781,0.032,40710
"Clark County, NV",05000US32003,2070153,0.278,307146,0.72,0.068,705.88,36.7,186700,0.522559,0.013,17019
"Tarrant County, TX",05000US48439,1947529,0.291,275899,0.89,0.042,411.11,34.1,148100,0.603875,0.013,26535
"Santa Clara County, CA",05000US06085,1885056,0.195,172213,0.836,0.042,253.9,36.8,752400,0.56538,0.011,26979
"Broward County, FL",05000US12011,1863780,0.244,265521,0.769,0.05,440.86,40,202300,0.62758,0,31859
"Bexar County, TX",05000US48029,1858699,0.273,313406,0.877,0.038,475.54,33.2,134400,0.582709,0.045,28532
"Wayne County, MI",05000US26163,1767593,0.335,428189,0.79,0.073,1034.06,37.8,86000,0.62066,0.007,21018
"New York County, NY",05000US36061,1634989,0.147,279847,0.696,0.048,621.06,36.7,871500,0.231437,0,88542
"Alameda County, CA",05000US06001,1605217,0.2,189590,0.85,0.047,720.31,37.2,593500,0.525674,0.004,27182
"Middlesex County, MA",05000US25017,1567610,0.226,124652,0.909,0.04,206.55,38.5,432300,0.623662,0.03,38866
"Philadelphia County, PA",05000US42101,1559938,0.298,392356,0.698,0.069,1094.18,33.9,147300,0.523888,0,42652
"Suffolk County, NY",05000US36103,1498130,0.231,106499,0.892,0.048,129.74,40.9,376000,0.794641,0.026,15352
"Sacramento County, CA",05000US06067,1479300,0.274,260877,0.806,0.06,523.17,35.7,271300,0.552053,0.021,23123
