geo_name,geo_id,pop_2016,adult_obesity_2017,poverty_rate_2016,high_school_graduation_2017,unemployment_2017,violent_crime_2017,age,median_property_value_2016
"Autauga County, AL",05000US01001,55049,0.341,0.122660170702224,0.9,0.052,265.7,21.4,141000
"Baldwin County, AL",05000US01003,199510,0.274,0.129937957689178,0.85,0.055,216.77,21.5,173400
"Barbour County, AL",05000US01005,26614,0.444,0.263736728564782,0.862,0.089,328.66,21.6,90300
"Bibb County, AL",05000US01007,22572,0.403,0.16453914478474,0.85,0.066,147.29,21.9,97200
"Blount County, AL",05000US01009,57704,0.346,0.165344401828403,0.912,0.054,211.6,22,124200
"Bullock County, AL",05000US01011,10552,0.43,0.268662596021272,0.875,0.078,302.29,22.1,68000
"Butler County, AL",05000US01013,20280,0.363,0.256595084346999,0.83,0.075,523.44,22.3,83000
"Calhoun County, AL",05000US01015,115883,0.322,0.196423817552578,0.922,0.07,574.32,22.5,107900
"Chambers County, AL",05000US01017,34018,0.397,0.203116138853237,0.85,0.06,526.86,22.7,83000
"Cherokee County, AL",05000US01019,25897,0.336,0.164461024936187,0.88,0.054,383.6,22.9,112500
"Chilton County, AL",05000US01021,43817,0.359,0.202743585598485,0.86,0.057,345.84,22.9,99100
"Choctaw County, AL",05000US01023,13287,0.408,0.209533267130089,0.875,0.091,111.42,23,64600
"Clarke County, AL",05000US01025,24847,0.382,0.246359620418848,0.929,0.118,439.43,23,85900
"Clay County, AL",05000US01027,13483,0.373,0.167480543262628,0.925,0.062,352.21,23,90000
"Cleburne County, AL",05000US01029,14991,0.3,0.196183620806736,0.98,0.06,149.93,23,108100
"Coffee County, AL",05000US01031,50991,0.337,0.163545915829271,0.962,0.059,321.16,23.1,142800
"Colbert County, AL",05000US01033,54377,0.375,0.165275459098498,0.889,0.079,449.59,23.2,102500
"Conecuh County, AL",05000US01035,12697,0.364,0.325384249722706,0.825,0.092,566.46,23.3,72300
"Coosa County, AL",05000US01037,10864,0.397,0.153377155377727,0.825,0.067,205.85,23.3,76500
"Covington County, AL",05000US01039,37729,0.34,0.18994488869678,0.953,0.071,273.13,23.3,93700
"Crenshaw County, AL",05000US01041,13896,0.397,0.181818181818182,0.925,0.06,500.36,23.5,77600
"Cullman County, AL",05000US01043,81316,0.334,0.171205351571275,0.909,0.053,169.68,23.5,118700
"Dale County, AL",05000US01045,49607,0.365,0.204745748686334,0.904,0.064,362.6,23.5,103800
"Dallas County, AL",05000US01047,41426,0.408,0.343000366793006,0.901,0.096,774.11,23.9,81000
"DeKalb County, AL",05000US01049,70937,0.304,0.197866149369544,0.918,0.06,331.15,24,99600
"Elmore County, AL",05000US01051,80957,0.354,0.142969642083711,0.904,0.051,275.58,24,152500
"Escambia County, AL",05000US01053,37875,0.377,0.252026069708133,0.841,0.07,483.09,24,93900
"Etowah County, AL",05000US01055,103363,0.351,0.18376886741498,0.841,0.061,544.16,24.1,101900
"Fayette County, AL",05000US01057,16783,0.337,0.173011844331641,0.925,0.07,178.61,24.2,76400
"Franklin County, AL",05000US01059,31573,0.332,0.222852745984419,0.928,0.064,345.32,24.3,87000
"Geneva County, AL",05000US01061,26765,0.341,0.227680769667816,0.943,0.059,342.52,24.4,81500
"Greene County, AL",05000US01063,8587,0.463,0.378837590813218,0.875,0.11,886.36,24.4,68100
"Hale County, AL",05000US01065,15159,0.404,0.259117469272617,0.86,0.078,193.93,24.5,89400
"Henry County, AL",05000US01067,17187,0.358,0.152809785499025,0.925,0.068,278.33,24.5,101800
"Houston County, AL",05000US01069,103891,0.328,0.188806768452786,0.929,0.062,389.83,24.6,124800
"Jackson County, AL",05000US01071,52608,0.32,0.187921526430067,0.915,0.066,360.99,24.6,103800
"Jefferson County, AL",05000US01073,659096,0.332,0.181041714802312,0.89,0.058,796.84,24.6,145700
"Lamar County, AL",05000US01075,14066,0.336,0.238615141502658,0.875,0.063,162.21,24.7,71100
"Lauderdale County, AL",05000US01077,92641,0.329,0.182780725022104,0.951,0.069,268.11,24.7,124100
"Lawrence County, AL",05000US01079,33433,0.355,0.182801547014745,0.92,0.077,263.93,24.8,97600
"Lee County, AL",05000US01081,153947,0.29,0.230115918742109,0.897,0.051,274.75,24.8,156400
"Limestone County, AL",05000US01083,90257,0.329,0.141003430433336,0.933,0.055,143.26,24.9,142500
"Lowndes County, AL",05000US01085,10565,0.451,0.286900897460378,0.825,0.116,611,24.9,68900
"Macon County, AL",05000US01087,19684,0.447,0.255360735843633,0.89,0.081,736.55,24.9,77000
"Madison County, AL",05000US01089,349973,0.323,0.132703713254255,0.918,0.055,583.72,25,171200
"Marengo County, AL",05000US01091,20066,0.403,0.277783385485011,0.971,0.077,481.29,25,87900
"Marion County, AL",05000US01093,30239,0.355,0.186278487860959,0.885,0.07,289.67,25,85500
"Marshall County, AL",05000US01095,94534,0.332,0.205123258306538,0.922,0.058,212.4,25.1,115700
"Mobile County, AL",05000US01097,414291,0.371,0.194741221748369,0.864,0.07,549.8,25.1,123500
"Monroe County, AL",05000US01099,21975,0.353,0.320964920357241,0.86,0.101,488.24,25.2,87700
"Montgomery County, AL",05000US01101,227392,0.348,0.213116687532887,0.79,0.062,407.71,25.2,122000
